Date,Close
02/01/2009,931.799988
05/01/2009,927.450012
06/01/2009,934.700012
07/01/2009,906.650024
08/01/2009,909.72998
09/01/2009,890.349976
12/01/2009,870.26001
13/01/2009,871.789978
14/01/2009,842.619995
15/01/2009,843.73999
16/01/2009,850.119995
20/01/2009,805.219971
21/01/2009,840.23999
22/01/2009,827.5
23/01/2009,831.950012
26/01/2009,836.570007
27/01/2009,845.710022
28/01/2009,874.090027
29/01/2009,845.140015
30/01/2009,825.880005
02/02/2009,825.440002
03/02/2009,838.51001
04/02/2009,832.22998
05/02/2009,845.849976
06/02/2009,868.599976
09/02/2009,869.890015
10/02/2009,827.159973
11/02/2009,833.73999
12/02/2009,835.190002
13/02/2009,826.840027
17/02/2009,789.169983
18/02/2009,788.419983
19/02/2009,778.940002
20/02/2009,770.049988
23/02/2009,743.330017
24/02/2009,773.140015
25/02/2009,764.900024
26/02/2009,752.830017
27/02/2009,735.090027
02/03/2009,700.820007
03/03/2009,696.330017
04/03/2009,712.869995
05/03/2009,682.549988
06/03/2009,683.380005
09/03/2009,676.530029
10/03/2009,719.599976
11/03/2009,721.359985
12/03/2009,750.73999
13/03/2009,756.549988
16/03/2009,753.890015
17/03/2009,778.119995
18/03/2009,794.349976
19/03/2009,784.039978
20/03/2009,768.539978
23/03/2009,822.919983
24/03/2009,806.119995
25/03/2009,813.880005
26/03/2009,832.859985
27/03/2009,815.940002
30/03/2009,787.530029
31/03/2009,797.869995
01/04/2009,811.080017
02/04/2009,834.380005
03/04/2009,842.5
06/04/2009,835.47998
07/04/2009,815.549988
08/04/2009,825.159973
09/04/2009,856.559998
13/04/2009,858.72998
14/04/2009,841.5
15/04/2009,852.059998
16/04/2009,865.299988
17/04/2009,869.599976
20/04/2009,832.390015
21/04/2009,850.080017
22/04/2009,843.549988
23/04/2009,851.919983
24/04/2009,866.22998
27/04/2009,857.51001
28/04/2009,855.159973
29/04/2009,873.640015
30/04/2009,872.809998
01/05/2009,877.52002
04/05/2009,907.23999
05/05/2009,903.799988
06/05/2009,919.530029
07/05/2009,907.390015
08/05/2009,929.22998
11/05/2009,909.23999
12/05/2009,908.349976
13/05/2009,883.919983
14/05/2009,893.070007
15/05/2009,882.880005
18/05/2009,909.710022
19/05/2009,908.130005
20/05/2009,903.469971
21/05/2009,888.330017
22/05/2009,887
26/05/2009,910.330017
27/05/2009,893.059998
28/05/2009,906.830017
29/05/2009,919.140015
01/06/2009,942.869995
02/06/2009,944.73999
03/06/2009,931.76001
04/06/2009,942.460022
05/06/2009,940.090027
08/06/2009,939.140015
09/06/2009,942.429993
10/06/2009,939.150024
11/06/2009,944.890015
12/06/2009,946.210022
15/06/2009,923.719971
16/06/2009,911.969971
17/06/2009,910.710022
18/06/2009,918.369995
19/06/2009,921.22998
22/06/2009,893.039978
23/06/2009,895.099976
24/06/2009,900.940002
25/06/2009,920.26001
26/06/2009,918.900024
29/06/2009,927.22998
30/06/2009,919.320007
01/07/2009,923.330017
02/07/2009,896.419983
06/07/2009,898.719971
07/07/2009,881.030029
08/07/2009,879.559998
09/07/2009,882.679993
10/07/2009,879.130005
13/07/2009,901.049988
14/07/2009,905.840027
15/07/2009,932.679993
16/07/2009,940.73999
17/07/2009,940.380005
20/07/2009,951.130005
21/07/2009,954.580017
22/07/2009,954.070007
23/07/2009,976.289978
24/07/2009,979.26001
27/07/2009,982.179993
28/07/2009,979.619995
29/07/2009,975.150024
30/07/2009,986.75
